class,filename
1,data\train_aug\COVID/0_1.jpg
1,data\train_aug\COVID/0_10.jpg
1,data\train_aug\COVID/0_11.jpg
1,data\train_aug\COVID/0_12.jpg
1,data\train_aug\COVID/0_13.jpg
1,data\train_aug\COVID/0_14.jpg
1,data\train_aug\COVID/0_15.jpg
1,data\train_aug\COVID/0_16.jpg
1,data\train_aug\COVID/0_17.jpg
1,data\train_aug\COVID/0_18.jpg
1,data\train_aug\COVID/0_19.jpg
1,data\train_aug\COVID/0_2.jpg
1,data\train_aug\COVID/0_20.jpg
1,data\train_aug\COVID/0_3.jpg
1,data\train_aug\COVID/0_4.jpg
1,data\train_aug\COVID/0_5.jpg
1,data\train_aug\COVID/0_6.jpg
1,data\train_aug\COVID/0_7.jpg
1,data\train_aug\COVID/0_8.jpg
1,data\train_aug\COVID/0_9.jpg
1,data\train_aug\COVID/100_1.jpg
1,data\train_aug\COVID/100_10.jpg
1,data\train_aug\COVID/100_11.jpg
1,data\train_aug\COVID/100_12.jpg
1,data\train_aug\COVID/100_13.jpg
1,data\train_aug\COVID/100_14.jpg
1,data\train_aug\COVID/100_15.jpg
1,data\train_aug\COVID/100_16.jpg
1,data\train_aug\COVID/100_17.jpg
1,data\train_aug\COVID/100_18.jpg
1,data\train_aug\COVID/100_19.jpg
1,data\train_aug\COVID/100_2.jpg
1,data\train_aug\COVID/100_20.jpg
1,data\train_aug\COVID/100_3.jpg
1,data\train_aug\COVID/100_4.jpg
1,data\train_aug\COVID/100_5.jpg
1,data\train_aug\COVID/100_6.jpg
1,data\train_aug\COVID/100_7.jpg
1,data\train_aug\COVID/100_8.jpg
1,data\train_aug\COVID/100_9.jpg
1,data\train_aug\COVID/101_1.jpg
1,data\train_aug\COVID/101_10.jpg
1,data\train_aug\COVID/101_11.jpg
1,data\train_aug\COVID/101_12.jpg
1,data\train_aug\COVID/101_13.jpg
1,data\train_aug\COVID/101_14.jpg
1,data\train_aug\COVID/101_15.jpg
1,data\train_aug\COVID/101_16.jpg
1,data\train_aug\COVID/101_17.jpg
1,data\train_aug\COVID/101_18.jpg
1,data\train_aug\COVID/101_19.jpg
1,data\train_aug\COVID/101_2.jpg
1,data\train_aug\COVID/101_20.jpg
