class,filename
0,data\train_aug\NoCOVID/0_1.jpg
0,data\train_aug\NoCOVID/0_10.jpg
0,data\train_aug\NoCOVID/0_11.jpg
0,data\train_aug\NoCOVID/0_12.jpg
0,data\train_aug\NoCOVID/0_13.jpg
0,data\train_aug\NoCOVID/0_14.jpg
0,data\train_aug\NoCOVID/0_15.jpg
0,data\train_aug\NoCOVID/0_16.jpg
0,data\train_aug\NoCOVID/0_17.jpg
0,data\train_aug\NoCOVID/0_18.jpg
0,data\train_aug\NoCOVID/0_19.jpg
0,data\train_aug\NoCOVID/0_2.jpg
0,data\train_aug\NoCOVID/0_20.jpg
0,data\train_aug\NoCOVID/0_3.jpg
0,data\train_aug\NoCOVID/0_4.jpg
0,data\train_aug\NoCOVID/0_5.jpg
0,data\train_aug\NoCOVID/0_6.jpg
0,data\train_aug\NoCOVID/0_7.jpg
0,data\train_aug\NoCOVID/0_8.jpg
0,data\train_aug\NoCOVID/0_9.jpg
0,data\train_aug\NoCOVID/100_1.jpg
0,data\train_aug\NoCOVID/100_10.jpg
0,data\train_aug\NoCOVID/100_11.jpg
0,data\train_aug\NoCOVID/100_12.jpg
0,data\train_aug\NoCOVID/100_13.jpg
0,data\train_aug\NoCOVID/100_14.jpg
0,data\train_aug\NoCOVID/100_15.jpg
0,data\train_aug\NoCOVID/100_16.jpg
0,data\train_aug\NoCOVID/100_17.jpg
0,data\train_aug\NoCOVID/100_18.jpg
0,data\train_aug\NoCOVID/100_19.jpg
0,data\train_aug\NoCOVID/100_2.jpg
0,data\train_aug\NoCOVID/100_20.jpg
0,data\train_aug\NoCOVID/100_3.jpg
0,data\train_aug\NoCOVID/100_4.jpg
0,data\train_aug\NoCOVID/100_5.jpg
0,data\train_aug\NoCOVID/100_6.jpg
0,data\train_aug\NoCOVID/100_7.jpg
0,data\train_aug\NoCOVID/100_8.jpg
0,data\train_aug\NoCOVID/100_9.jpg
0,data\train_aug\NoCOVID/101_1.jpg
0,data\train_aug\NoCOVID/101_10.jpg
0,data\train_aug\NoCOVID/101_11.jpg
0,data\train_aug\NoCOVID/101_12.jpg
0,data\train_aug\NoCOVID/101_13.jpg
0,data\train_aug\NoCOVID/101_14.jpg
0,data\train_aug\NoCOVID/101_15.jpg
0,data\train_aug\NoCOVID/101_16.jpg
0,data\train_aug\NoCOVID/101_17.jpg
0,data\train_aug\NoCOVID/101_18.jpg
0,data\train_aug\NoCOVID/101_19.jpg
0,data\train_aug\NoCOVID/101_2.jpg
0,data\train_aug\NoCOVID/101_20.jpg
0,data\train_aug\NoCOVID/101_3.jpg
0,data\train_aug\NoCOVID/101_4.jpg
0,data\train_aug\NoCOVID/101_5.jpg
0,data\train_aug\NoCOVID/101_6.jpg
0,data\train_aug\NoCOVID/101_7.jpg
0,data\train_aug\NoCOVID/101_8.jpg
0,data\train_aug\NoCOVID/101_9.jpg
0,data\train_aug\NoCOVID/102_1.jpg
0,data\train_aug\NoCOVID/102_10.jpg
0,data\train_aug\NoCOVID/102_11.jpg
0,data\train_aug\NoCOVID/102_12.jpg
0,data\train_aug\NoCOVID/102_13.jpg
0,data\train_aug\NoCOVID/102_14.jpg
0,data\train_aug\NoCOVID/102_15.jpg
0,data\train_aug\NoCOVID/102_16.jpg
0,data\train_aug\NoCOVID/102_17.jpg
0,data\train_aug\NoCOVID/102_18.jpg
0,data\train_aug\NoCOVID/102_19.jpg
0,data\train_aug\NoCOVID/102_2.jpg
0,data\train_aug\NoCOVID/102_20.jpg
0,data\train_aug\NoCOVID/102_3.jpg
0,data\train_aug\NoCOVID/102_4.jpg
0,data\train_aug\NoCOVID/102_5.jpg
0,data\train_aug\NoCOVID/102_6.jpg
0,data\train_aug\NoCOVID/102_7.jpg
0,data\train_aug\NoCOVID/102_8.jpg
0,data\train_aug\NoCOVID/102_9.jpg
0,data\train_aug\NoCOVID/103_1.jpg
0,data\train_aug\NoCOVID/103_10.jpg
0,data\train_aug\NoCOVID/103_11.jpg
0,data\train_aug\NoCOVID/103_12.jpg
0,data\train_aug\NoCOVID/103_13.jpg
0,data\train_aug\NoCOVID/103_14.jpg
0,data\train_aug\NoCOVID/103_15.jpg
0,data\train_aug\NoCOVID/103_16.jpg
0,data\train_aug\NoCOVID/103_17.jpg
0,data\train_aug\NoCOVID/103_18.jpg
0,data\train_aug\NoCOVID/103_19.jpg
0,data\train_aug\NoCOVID/103_2.jpg
0,data\train_aug\NoCOVID/103_20.jpg
0,data\train_aug\NoCOVID/103_3.jpg
0,data\train_aug\NoCOVID/103_4.jpg
0,data\train_aug\NoCOVID/103_5.jpg
0,data\train_aug\NoCOVID/103_6.jpg
0,data\train_aug\NoCOVID/103_7.jpg
0,data\train_aug\NoCOVID/103_8.jpg
0,data\train_aug\NoCOVID/103_9.jpg
0,data\train_aug\NoCOVID/104_1.jpg
0,data\train_aug\NoCOVID/104_10.jpg
0,data\train_aug\NoCOVID/104_11.jpg
0,data\train_aug\NoCOVID/104_12.jpg
0,data\train_aug\NoCOVID/104_13.jpg
0,data\train_aug\NoCOVID/104_14.jpg
0,data\train_aug\NoCOVID/104_15.jpg
0,data\train_aug\NoCOVID/104_16.jpg
0,data\train_aug\NoCOVID/104_17.jpg
0,data\train_aug\NoCOVID/104_18.jpg
0,data\train_aug\NoCOVID/104_19.jpg
0,data\train_aug\NoCOVID/104_2.jpg
0,data\train_aug\NoCOVID/104_20.jpg
0,data\train_aug\NoCOVID/104_3.jpg
0,data\train_aug\NoCOVID/104_4.jpg
0,data\train_aug\NoCOVID/104_5.jpg
0,data\train_aug\NoCOVID/104_6.jpg
0,data\train_aug\NoCOVID/104_7.jpg
0,data\train_aug\NoCOVID/104_8.jpg
0,data\train_aug\NoCOVID/104_9.jpg
0,data\train_aug\NoCOVID/105_1.jpg
0,data\train_aug\NoCOVID/105_10.jpg
0,data\train_aug\NoCOVID/105_11.jpg
0,data\train_aug\NoCOVID/105_12.jpg
0,data\train_aug\NoCOVID/105_13.jpg
0,data\train_aug\NoCOVID/105_14.jpg
0,data\train_aug\NoCOVID/105_15.jpg
0,data\train_aug\NoCOVID/105_16.jpg
0,data\train_aug\NoCOVID/105_17.jpg
0,data\train_aug\NoCOVID/105_18.jpg
0,data\train_aug\NoCOVID/105_19.jpg
0,data\train_aug\NoCOVID/105_2.jpg
0,data\train_aug\NoCOVID/105_20.jpg
0,data\train_aug\NoCOVID/105_3.jpg
0,data\train_aug\NoCOVID/105_4.jpg
0,data\train_aug\NoCOVID/105_5.jpg
0,data\train_aug\NoCOVID/105_6.jpg
0,data\train_aug\NoCOVID/105_7.jpg
0,data\train_aug\NoCOVID/105_8.jpg
0,data\train_aug\NoCOVID/105_9.jpg
0,data\train_aug\NoCOVID/106_1.jpg
0,data\train_aug\NoCOVID/106_10.jpg
0,data\train_aug\NoCOVID/106_11.jpg
0,data\train_aug\NoCOVID/106_12.jpg
0,data\train_aug\NoCOVID/106_13.jpg
0,data\train_aug\NoCOVID/106_14.jpg
0,data\train_aug\NoCOVID/106_15.jpg
0,data\train_aug\NoCOVID/106_16.jpg
0,data\train_aug\NoCOVID/106_17.jpg
0,data\train_aug\NoCOVID/106_18.jpg
0,data\train_aug\NoCOVID/106_19.jpg
0,data\train_aug\NoCOVID/106_2.jpg
0,data\train_aug\NoCOVID/106_20.jpg
0,data\train_aug\NoCOVID/106_3.jpg
0,data\train_aug\NoCOVID/106_4.jpg
0,data\train_aug\NoCOVID/106_5.jpg
0,data\train_aug\NoCOVID/106_6.jpg
0,data\train_aug\NoCOVID/106_7.jpg
0,data\train_aug\NoCOVID/106_8.jpg
0,data\train_aug\NoCOVID/106_9.jpg
0,data\train_aug\NoCOVID/107_1.jpg
0,data\train_aug\NoCOVID/107_10.jpg
0,data\train_aug\NoCOVID/107_11.jpg
0,data\train_aug\NoCOVID/107_12.jpg
0,data\train_aug\NoCOVID/107_13.jpg
0,data\train_aug\NoCOVID/107_14.jpg
0,data\train_aug\NoCOVID/107_15.jpg
0,data\train_aug\NoCOVID/107_16.jpg
0,data\train_aug\NoCOVID/107_17.jpg
0,data\train_aug\NoCOVID/107_18.jpg
0,data\train_aug\NoCOVID/107_19.jpg
0,data\train_aug\NoCOVID/107_2.jpg
0,data\train_aug\NoCOVID/107_20.jpg
0,data\train_aug\NoCOVID/107_3.jpg
0,data\train_aug\NoCOVID/107_4.jpg
0,data\train_aug\NoCOVID/107_5.jpg
0,data\train_aug\NoCOVID/107_6.jpg
0,data\train_aug\NoCOVID/107_7.jpg
0,data\train_aug\NoCOVID/107_8.jpg
0,data\train_aug\NoCOVID/107_9.jpg
0,data\train_aug\NoCOVID/108_1.jpg
0,data\train_aug\NoCOVID/108_10.jpg
0,data\train_aug\NoCOVID/108_11.jpg
0,data\train_aug\NoCOVID/108_12.jpg
0,data\train_aug\NoCOVID/108_13.jpg
0,data\train_aug\NoCOVID/108_14.jpg
0,data\train_aug\NoCOVID/108_15.jpg
